Applications,Cef,NBR Version,Kit CEF,Remarks,Company,Tipologia Applicazione
DF40AT (2021→2024),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312).,SUZUKI,Outboard
DF40ATH (2021→2024),500362,,,Water Pump Repair Kit (OEM Impeller #17461-96312).,SUZUKI,Outboard
,,,,,,
DF150 (2006→2008),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF150T (2006→2018),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF150A (2019→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF150AT (2019→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF150AZ (2021→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF150AP (2017→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF175 (2006→2009),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF175T (2010→2018),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF175A (2019→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF175AT (2019→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF175AZ (2021→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF175AP (2017→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF200A (2015→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF200AT (2015→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF200AZ (2021→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
DF200AP (2017→2024),500367N,,,Water Pump Repair Kit (Impeller #17461-90J01-000). Includes all parts for water pump revision.,SUZUKI,Outboard
