Applications,CEF IMPELLERS,CEF IMPELLERS NBR Version,CEF KITs CODES,Remarks,Manufacturer,Tipologia Applicazione,Applications_note,Tipologia
"10950-2101","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2141","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2201","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2241","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2401","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2441","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2451","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2601","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10950-2701","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10970","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10970-21","500107GT","500207GT",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"10980-0051","500135T","500235T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11000","500116GX","500216GX","RK0006",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11000-01","500116GX","500216GX","RK0006",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11100-01-01","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11100-31","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11110-0141","500145GT",,"RK0008",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11110-0151","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11110-0541","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11120-200","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11120-204","500114T","500214T",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11120-205","500114T","500214T","RK0004",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11150-0011","500145GT",,,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11260-200","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11260-205","500100GX","500200GX","RK0001",,"JABSCO","INBOARD ENGINES",,"PUMP"
"11260-2101","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11260-211","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
"11260-2151","500100GX","500200GX",,,"JABSCO","INBOARD ENGINES",,"PUMP"
