Applications,Company,Tipologia Applicazione
"7.4GSi,","VOLVO PENTA","Inboard_Engines"
"7.4GSIINCC, 7.4GSIINCS","VOLVO PENTA","Inboard_Engines"
"7.4GSIPBYCCE","VOLVO PENTA","Inboard_Engines"
"7.4GSiPEFS","VOLVO PENTA","Inboard_Engines"
"7.4GSIPWTR","VOLVO PENTA","Inboard_Engines"
"7.4GSIXHUS","VOLVO PENTA","Inboard_Engines"
"7.4GSIXNCB, 7.4GSIXNCM","VOLVO PENTA","Inboard_Engines"
"7.4L, GL, GI","VOLVO PENTA","Inboard_Engines"
"8,1L, GI, GXI, OSI","VOLVO PENTA","Inboard_Engines"
"8.1GI-A/B/BF/C/CF/D/DF/E/EF/F/FF","VOLVO PENTA","Inboard_Engines"
"8.1Gi-G, 8.1Gi-GF","VOLVO PENTA","Inboard_Engines"
"8.1Gi-H, 8.1Gi-HF","VOLVO PENTA","Inboard_Engines"
"8.1Gi-J, 8.1Gi-JF","VOLVO PENTA","Inboard_Engines"
"8.1GiC-400-J, 8.1GiC-400JF, 8.1GiC-400-Q","VOLVO PENTA","Inboard_Engines"
"8.1GiCE-400-J, 8.1GiCE-400JF","VOLVO PENTA","Inboard_Engines"
"8.1GiCE-400-M, 8.1GiCE-400MF","VOLVO PENTA","Inboard_Engines"
"8.1GII-A/B/C/E/F","VOLVO PENTA","Inboard_Engines"
"8.1GiI-G","VOLVO PENTA","Inboard_Engines"
"8.1GiI-H","VOLVO PENTA","Inboard_Engines"
"8.1GiE-J, 8.1GiE-JF","VOLVO PENTA","Inboard_Engines"
"8.1GiE-K, 8.1GiE-KF","VOLVO PENTA","Inboard_Engines"
"8.1GiE-M, 8.1GiE-MF","VOLVO PENTA","Inboard_Engines"
"8.1GSI-A, 8.1GSII-A","VOLVO PENTA","Inboard_Engines"
"8.1GXI-A/AF/B/BF/C/CF/D/DF/E/EF","VOLVO PENTA","Inboard_Engines"
"8.1GXi-F, 8.1GXi-FF","VOLVO PENTA","Inboard_Engines"
"8.1GXi-G, 8.1GXi-GF","VOLVO PENTA","Inboard_Engines"
"8.1GXi-J, 8.1GXi-JF","VOLVO PENTA","Inboard_Engines"
"8.1GXiI-F","VOLVO PENTA","Inboard_Engines"
"8.1GXiI-G","VOLVO PENTA","Inboard_Engines"
"8.1GXiE-J, 8.1GXiE-JF","VOLVO PENTA","Inboard_Engines"
"8.1GXiE-K, 8.1GXiE-KF","VOLVO PENTA","Inboard_Engines"
"8.1GXiE-M, 8.1GXiE-MF","VOLVO PENTA","Inboard_Engines"
"8.1GXII-A/B/C/D/E","VOLVO PENTA","Inboard_Engines"
"8.1IPSCE-JF, 8.1IPSCE-MF","VOLVO PENTA","Inboard_Engines"
"8.1OSI-A/AF/B/BF","VOLVO PENTA","Inboard_Engines"
"8.1OSi-C, 8.1OSi-CF","VOLVO PENTA","Inboard_Engines"
"8.1OSi-D, 8.1OSi-DF","VOLVO PENTA","Inboard_Engines"
"8.1OSi-J, 8.10OSi-JF","VOLVO PENTA","Inboard_Engines"
"8.1OSiE-J, 8.1OSiE-JF","VOLVO PENTA","Inboard_Engines"
"8.2 GL","VOLVO PENTA","Inboard_Engines"
"8.2GLIMDA, 8.2GLIMDM","VOLVO PENTA","Inboard_Engines"
"8.2GLPMDM, 8.2GLPMDM","VOLVO PENTA","Inboard_Engines"
"8.2GSIPBYCCE","VOLVO PENTA","Inboard_Engines"
"8.2GSiPEFS","VOLVO PENTA","Inboard_Engines"
"8.2GSIPWTR","VOLVO PENTA","Inboard_Engines"
"8.2GSIXNCB","VOLVO PENTA","Inboard_Engines"
"8.2L, GL","VOLVO PENTA","Inboard_Engines"
"110S","VOLVO PENTA","Inboard_Engines"
"120S,120S-B,120S-C,120S-D,120S-E","VOLVO PENTA","Inboard_Engines"
"120S-E","VOLVO PENTA","Inboard_Engines"
"200,250,270,280DP,280PT","VOLVO PENTA","Inboard_Engines"
"2001/2002/2003","VOLVO PENTA","Inboard_Engines"
"2001AG-2001B - 2001BG","VOLVO PENTA","Inboard_Engines"
"2001B/2002B/2003B","VOLVO PENTA","Inboard_Engines"
"2002 - 2002AG-2002B - 2002BG - 2002D","VOLVO PENTA","Inboard_Engines"
"2003 -2003AG-2003B - 2003BG - 2003D","VOLVO PENTA","Inboard_Engines"
